name,year,sust_winds_mph,pressure_hpa,category
Unnamed,1909,115.0,959.0,3
Unnamed,1909,120.0,955.0,3
Unnamed,1909,120.0,952.0,3
Unnamed,1909,120.0,957.0,3
Unnamed,1912,115.0,965.0,3
Unnamed,1915,120.0,,3
Unnamed,1916,120.0,950.0,3
Unnamed,1916,120.0,960.0,3
Unnamed,1916,120.0,,3
Unnamed,1917,120.0,980.0,3
Unnamed,1918,120.0,955.0,3
San Pedro,1921,125.0,961.0,3
Unnamed,1922,120.0,960.0,3
Unnamed,1923,120.0,960.0,3
Unnamed,1924,120.0,960.0,3
Unnamed,1926,120.0,968.0,3
Unnamed,1926,115.0,955.0,3
Unnamed,1927,125.0,950.0,3
Unnamed,1930,125.0,960.0,3
Unnamed,1933,125.0,958.0,3
Unnamed,1934,115.0,955.0,3
Unnamed,1936,120.0,962.0,3
Unnamed,1937,125.0,951.0,3
Unnamed,1938,120.0,964.0,3
Unnamed,1941,125.0,942.0,3
Unnamed,1941,120.0,962.0,3
Unnamed,1942,115.0,950.0,3
Unnamed,1943,120.0,,3
Unnamed,1944,120.0,963.0,3
Unnamed,1945,115.0,963.0,3
Love,1947,120.0,961.0,3
Able,1948,120.0,983.0,3
Fox,1948,125.0,971.0,3
Unnamed,1949,125.0,974.0,3
Able,1950,115.0,978.0,3
Easy,1950,120.0,958.0,3
Jig,1950,115.0,987.0,3
Fox,1951,115.0,978.0,3
Charlie,1952,120.0,980.0,3
Edna,1953,115.0,962.0,3
Florence,1953,115.0,968.0,3
Carol,1954,115.0,955.0,3
Edna,1954,125.0,943.0,3
Hilda,1955,120.0,952.0,3
Betsy,1956,120.0,959.0,3
Audrey,1957,125.0,946.0,3
Hannah,1959,120.0,959.0,3
Ethel,1960,115.0,974.0,3
Arlene,1963,115.0,969.0,3
Beulah,1963,120.0,958.0,3
Isbell,1964,115.0,964.0,3
Alma,1966,125.0,970.0,3
Faith,1966,120.0,950.0,3
Debbie,1969,120.0,951.0,3
Francelia,1969,115.0,973.0,3
Gerda,1969,125.0,979.0,3
Inga,1969,115.0,964.0,3
Celia,1970,125.0,945.0,3
Ella,1970,125.0,967.0,3
Ellen,1973,115.0,962.0,3
Becky,1974,115.0,977.0,3
Caroline,1975,115.0,963.0,3
Eloise,1975,125.0,955.0,3
Belle,1976,120.0,957.0,3
Frances,1976,115.0,963.0,3
Frances,1980,115.0,958.0,3
Floyd,1981,115.0,975.0,3
Irene,1981,120.0,959.0,3
Alicia,1983,115.0,962.0,3
Kate,1985,120.0,954.0,3
Emily,1987,125.0,958.0,3
Gustav,1990,120.0,956.0,3
Bob,1991,115.0,950.0,3
Emily,1993,115.0,960.0,3
Marilyn,1995,115.0,949.0,3
Roxanne,1995,115.0,956.0,3
Bertha,1996,115.0,960.0,3
Fran,1996,120.0,946.0,3
Isidore,1996,115.0,960.0,3
Lili,1996,115.0,960.0,3
Erika,1997,125.0,946.0,3
Bonnie,1998,115.0,955.0,3
Alberto,2000,125.0,950.0,3
Erin,2001,120.0,968.0,3
Felix,2001,115.0,962.0,3
Isidore,2002,125.0,934.0,3
Kate,2003,125.0,952.0,3
Alex,2004,120.0,957.0,3
Jeanne,2004,120.0,950.0,3
Maria,2005,115.0,962.0,3
Beta,2005,115.0,962.0,3
Gordon,2006,120.0,955.0,3
Helene,2006,120.0,955.0,3
Bertha,2008,125.0,952.0,3
Fred,2009,120.0,958.0,3
Karl,2010,125.0,956.0,3
Irene,2011,120.0,942.0,3
Rina,2011,115.0,966.0,3
Michael,2012,115.0,964.0,3
Sandy,2012,115.0,940.0,3
Edouard,2014,120.0,960.0,3
Danny,2015,125.0,960.0,3
Gaston,2016,115.0,962.0,3
Otto,2016,115.0,975.0,3
Lee,2017,115.0,962.0,3
Ophelia,2017,115.0,959.0,3
Humberto,2019,125.0,950.0,3
Epsilon,2020,115.0,951.0,3
Hurricane #3,1853,150.0,924.0,4
"""1856 Last Island Hurricane""",1856,150.0,934.0,4
Hurricane #6,1866,140.0,938.0,4
Hurricane #7,1878,140.0,938.0,4
Hurricane #2,1880,150.0,931.0,4
Hurricane #8,1880,140.0,928.0,4
Hurricane #6,1882,140.0,975.0,4
Indianola Hurricane of 1886,1886,150.0,925.0,4
Hurricane #10,1893,130.0,948.0,4
Hurricane #6,1894,130.0,931.0,4
1898 Georgia hurricane,1898,130.0,930.0,4
1899 San Ciriaco hurricane,1899,150.0,930.0,4
Hurricane #4,1906,130.0,950.0,4
1910 Cuba hurricane,1910,150.0,924.0,4
1915 Galveston hurricane,1915,145.0,940.0,4
1915 New Orleans hurricane,1915,145.0,931.0,4
1916 Texas hurricane,1916,130.0,932.0,4
1917 Nueva Gerona hurricane,1917,150.0,928.0,4
1919 Florida Keys hurricane,1919,150.0,927.0,4
1921 Tampa Bay hurricane,1921,140.0,941.0,4
1926 Nassau hurricane,1926,140.0,967.0,4
Hurricane #4,1926,140.0,957.0,4
1926 Miami hurricane,1926,150.0,930.0,4
1926 Havana–Bermuda hurricane,1926,150.0,934.0,4
1929 Bahamas hurricane,1929,155.0,924.0,4
1930 Dominican Republic hurricane,1930,155.0,933.0,4
1931 Belize hurricane,1931,130.0,952.0,4
1932 Freeport hurricane,1932,150.0,935.0,4
1932 San Ciprian hurricane,1932,145.0,943.0,4
1933 Chesapeake–Potomac hurricane,1933,140.0,940.0,4
1933 Treasure Coast hurricane,1933,140.0,945.0,4
1933 Outer Banks hurricane,1933,140.0,947.0,4
Hurricane #2,1935,130.0,955.0,4
1935 Cuba hurricane,1935,140.0,945.0,4
Hurricane #5,1939,140.0,941.0,4
Hurricane #4,1941,130.0,957.0,4
Hurricane #3,1943,140.0,950.0,4
1944 Great Atlantic hurricane,1944,145.0,933.0,4
1944 Cuba–Florida hurricane,1944,145.0,937.0,4
1945 Homestead hurricane,1945,130.0,949.0,4
